symbol,start_ts,level_price,side,label,body_volume_slope,price_return_kurtosis,volume_autocorrelation,poc_to_level_dist,squeeze_ratio,taker_ratio,wall_size_usd,wall_eaten_pct,book_depth_behind,book_imbalance,box_width_pct,duration_mins,episode_touches,volume_trend,level_touches,tick_speed_accel,trade_size_entropy,buy_sell_clustering
ENJUSDT,1773876900000,0.02376944,resistance,BROKE,-0.01127693437403914,1.1969882585158227,0.3298185005501148,0.002127101017104382,0.5999999999999862,0.5083939736153981,175425.09423,-0.20416055140056755,647401.13752,-0.03592855343029735,0.03786,60.0,1,-0.060448,72,0.2,1.8447191364499331,0.8625572156171916
ENJUSDT,1773884400000,0.02474909,resistance,REJECTED,-0.001634253731969324,1.0965762185867565,0.23332643120530558,0.0037157985032557927,1.948717948717925,0.4795515788084929,186132.33771,-0.4553130848877953,665316.58994,-0.07079363592449339,0.04081,70.0,3,0.02001,55,-0.4,0.08356763539688572,0.8942310881422675
ENJUSDT,1773889500000,0.02376944,resistance,BROKE,8.721119308226863e-05,6.910038409227964,0.3341482708679047,-0.004261021936703472,0.7258064516128973,0.46092879071054643,187366.60565,-0.5906827471523513,653406.56568,-0.01609041027366824,0.03828,65.0,1,-0.089555,72,0.4,1.4715513841253074,0.8915395898486148
ENJUSDT,1773897300000,0.02474909,support,FAKE,-0.011727989399361845,0.8869533298619294,0.24973514486004447,0.0018762837659677515,0.5420560747663535,0.49434317666954536,137240.47688,0.39272145132458325,903995.46237,-0.2983332222313669,0.04243,60.0,3,-0.060784,55,-0.4,0.5335196060547648,1.0658667478713433
ENJUSDT,1773904800000,0.02576692,resistance,BROKE,-0.012742886413261925,1.89901377234384,0.354019495752029,-0.0032405482443544327,0.6590909090909107,0.4801620918636303,252009.04395,-0.46908620733010453,709075.58295,-0.12902762014156602,0.03532,40.0,3,-0.031795,26,0.6,0.958506923584853,0.9367248288103155
ENJUSDT,1773908100000,0.02474909,resistance,REJECTED,-0.014967991628789923,-0.17620947896252392,0.49473337769154774,0.0003344939572578512,0.5512820512820491,0.5110052537265355,157327.78489,0.15809100168736012,593214.44508,0.16195466687746876,0.03394,55.0,2,-0.096952,55,-3.4,0.5647838316084015,0.9248535201169936
ENJUSDT,1773912000000,0.02376944,support,BROKE,-0.016448064290550922,0.9103985142751054,0.34401218103700487,0.007430239483090408,0.4313725490196038,0.4893176639570659,244859.55439,-0.20772940345956492,968148.26166,-0.030599149795595863,0.02735,55.0,1,-0.082407,72,0.2,1.2038856646601586,0.9655494639315662
ENJUSDT,1773930000000,0.02266716,support,REJECTED,-0.0170136079603783,0.8488530445086453,0.2764835514048785,0.004780762821168445,1.250000000000026,0.4858742108893769,240981.77233,-0.032097965957432084,863643.88036,0.07375209511791306,0.02073,40.0,2,-0.048952,67,0.4,1.1635402011210707,1.1565217391304348
ENJUSDT,1773935400000,0.02376944,resistance,REJECTED,-0.012683459458038584,2.1877187393906468,0.5216554948445973,0.011382682974441113,0.8979591836734667,0.5040109415721498,154699.75079,0.20389980200999924,619829.40057,0.06610482724587252,0.03913,65.0,2,-0.136163,72,0.2,0.18304934338548973,0.8596113096699678
ENJUSDT,1773943200000,0.02376944,resistance,REJECTED,-0.006730155114304031,-0.47167762780726274,0.25410256805299336,-0.006076710263262372,0.8857142857142727,0.4851882886479999,174932.30034,0.025757550858284017,686757.63811,0.16289362704176952,0.01809,35.0,0,-0.061036,72,0.2,2.3442850146145164,0.7679700064535294
